Player,Code,Tm,2023-24
Kevin Pangos,kevin_pangos,Valencia Basket,1000000
Kevin Punter,kevin_punter,Partizan Mozzart Bet,2900000
Khalifa Diop,khalifa_diop,Baskonia,500000
Dinos Mitoglou,dinos_mitoglou,Panathinaikos,1100000
Kostas Antetokounmpo,kostas_antetokounmpo,Panathinaikos,1000000
Kostas Papanikolaou,kostas_papanikolaou,Olympiacos,1100000
Kostas Sloukas,kostas_sloukas,Panathinaikos,3000000
Kresimir Nikic,kresimir_nikic,ALBA Berlin,500000
Kyle Guy,kyle_guy,Panathinaikos,500000
Kyle Hines,kyle_hines,EA7 Emporio Armani Milano,1000000
Laurynas Birutis,laurynas_birutis,Zalgiris,500000
Leandro Bolmaro,leandro_bolmaro,Bayern Munchen,800000
Lorenzo Brown,lorenzo_brown,Maccabi Playtika Tel Aviv,1500000
Louis Olinde,louis_olinde,ALBA Berlin,500000
Luca Vildoza,luca_vildoza,Panathinaikos,1700000
Lucas Mari Tardio,lucas_mari_tardio,Valencia Basket,500000
Luka Mitrovic,luka_mitrovic,Crvena zvezda Meridianbet,900000
Lukas Lekavicius,lukas_lekavicius,Zalgiris,900000
Luke Sikma,luke_sikma,Olympiacos,750000
Maik Kotsar,maik_kotsar,Baskonia,500000
Malte Delow,malte_delow,ALBA Berlin,700000
Maodo Lo,maodo_lo,EA7 Emporio Armani Milano,1000000
Marco Belinelli,marco_belinelli,Virtus Segafredo Bologna,1000000
Mario Hezonja,mario_hezonja,Real Madrid,1500000
Marius Grigonis,marius_grigonis,Panathinaikos,1000000
Marko Guduric,marko_guduric,Fenerbahce Beko,1300000
Marko Simonovic,marko_simonovic,Crvena zvezda Meridianbet,800000
Markus Howard,markus_howard,Baskonia,1800000
Martin Hermannsson,martin_hermannsson,ALBA Berlin,800000
Martin Hermannsson,martin_hermannsson,Valencia Basket,800000
Mateusz Ponitka,mateusz_ponitka,Partizan Mozzart Bet,800000
